capability/category,category_metrics_product,Channel,Channel_attribute
,,,
,,,
ABM Recommendation Flow,ABM Recommendations Covered By Sellers,Infrastructure,"""Contains http://"""
BEAM Operations Performance,ABM Recommendations Flowing Without Errors,Security,"""Contains https://"""
Contact to Account Matching,ABM Recommendations Tracked,By Segment,ABM
Domain Management,Accuracy ABM (Contacts),Infrastructure,ABM Targeted
Email Deliverability,Accuracy Corporate Marketo Program (Programs),Security,ABM Targeted Accounts
Event Data Quality,Accuracy Field Marketo Program (Programs),By Priority List,Accelerate Revenue Generation
Job Title - Job Role Standardization,Accuracy JT-JR-MA Match (Acquired Leads),By Source System,Activity
Lead Data Collection - Non Trials,Accuracy Major,Infrastructure,ANZ
Lead Data Collection - Trial,Accuracy Major Growth,Security,Apps & Infrastructure
Marketo Contact Profile,Accuracy Marketo Attributes (Leads),Business Applications,Apps & Infrastructure - Customer Acquisition
"Marketo Program Creation (tags, tokens, slugs)",Accuracy SMC,Business Applications,ASEAN
Operational Data Health,Availability of Data Sources for Lead Scoring,By Segment,Azure
Seller Coverage Assessment,Completeness ABM (Accounts),By Area,Azure GSS
Seller Engagement (CDQ),Completeness ABM (Contacts),By Priority List,Blocked as Spam
Seller Feedback (CDQ),Completeness Active Seller Sentiment (Sellers),By Priority List (SFT),Bot Operators Reply within SLA
Signal Flow Support,Completeness Bot Operators (Replies),By Segment Group,Build And Modernize Ai Apps
,Completeness Contacts (Feedbacks),By Solution Area,Business Applications
,Completeness Contacts Received an Email (Unique Contacts),By Source System,Business Applications - Customer Acquisition
,Completeness Corporate Marketo Program (Programs),Data and AI,Canada
,Completeness Domain - Country (Contacts),Data and AI,CEMA
,Completeness Emails Delivered (Emails),Digital and Application Innovation,CLAS
,Completeness Field Marketo Program (Programs),Digital and Application Innovation,Company Name
,Completeness Issues Mitigated within SLA (Issues),Infrastructure,Company Size
,Completeness Job-Title (Acquired Leads),Modern Work,Contact No Longer at the Company
,Completeness JT-JR-MA Match (Acquired Leads),Modern Work,Contact-Account Mismatch
,Completeness Leads Not Impacted by Signal Flow Issues (Leads),Security,Country
,Completeness Major,Business Applications,Cross-Workload
,Completeness Major Growth,Business Applications,CSM (Old List)
,Completeness MAL (Accounts),By Priority Lists,Data Security
,Completeness Marketo Attributes (Leads),By Area,Digital & App Innovation
,Completeness Non-ABM (Contacts),By Priority List (SFT),Domain with at least 2 Contacts (ABM)
,Completeness Others (Accounts),By Segment Group,Domain with at least 2 Contacts (Non-ABM)
,Completeness Product (Leads),By Solution Area,Drive Business Transformation with Copilot
,Completeness Self Detected Signal Flow Issues (Issues),Company Name,Education
,Completeness SMC,Country,Email
,Completeness Source (Events),Data and AI,Email Address
,Completeness Source (Leads),Data and AI,Enterprise
,Completeness Targeted vs Actual Sends (Emails),Digital and Application Innovation,EPC ID
,Lead Scoring Service Response Rate,Digital and Application Innovation,Event Name
,,Email,Event Sign Ups
,,First Name,Event Start Date
,,Infrastructure,First Name
,,Job Role,Format
,,Job Title,France
,,Last Name,"Free from ""Invalid Character"""
,,Modern Work,"Free from ""Marketo Program Name"""
,,Modern Work,"Free from ""Replace"""
,,Negative Feedback,"Free from ""TBD"""
